# Mapeos manuales complementarios (nombre-yaml|imagen)
argos-comun|common_argus.jpeg
argos-invernal|winter_argus.jpeg
oso-viudo|widow_bear.jpeg
aporreador-del-bosquespino|thornwood_mauler.jpeg
siervo-de-la-muerte|deathjack.jpeg
trask-bocacuerno|hornbeak_trask.jpeg
troll-incandescente|pyre_troll.jpeg
troll-feroz|dire_troll.jpeg
troll-comun|common_troll.jpeg
troll-pantanoso|swamp_troll.jpeg
troll-nocturno|night_troll.jpeg
troll-de-escoria|slag_troll.jpeg
acechadora-de-almas|soul_stalker.jpeg
arconte-del-vacio|void_archon.jpeg
arconte-dhuniano|dhunian_archon.jpeg
arconte-menita|menite_archon.jpeg
arconte-morrowano|morrowan_archon.jpeg
arconte-primordial|primal_archon.jpeg
arconte-thamarita|thamarite_archon.jpeg
rata-del-diablo|devil_rat.jpeg
yegua-pesadillesca|nightmare.jpeg
liche-de-hierro|iron_lich.jpeg
arana-de-cripta|crypt_spider.jpeg
draco-profundo|deep_drake.jpeg
draco-de-las-profundidades|deep_drake.jpeg
draco-de-niebla|fog_drake.jpeg
draco-de-escarcha|frost_drake.jpeg
draco-de-mar|sea_drake.jpeg
troglodita-del-pantano|bog_trog.jpeg
troglodita-del-pantano-arrastrero|bog_trog_trawler.jpeg
enjambre-oseo|boneswarm.jpeg
enjambre-de-murcielagos-navaja|razorbat_swarm.jpeg
enjambre-de-ratas-del-diablo|swarm_of_devil_rats.jpeg
enjambre-de-escarabajos-buitre|swarm_of_buzzard_beetles.jpeg
doncella-de-hierro|iron_maiden.jpeg
senor-de-la-voracidad|greed_lord.jpeg
cazaalmas|soulhunter.jpeg
destripador-espinoso|spine_ripper.jpeg
aparecido-mortalicio|deathbound_revenant.jpeg
acechador-sepulcral|sepulchral_lurker.jpeg
escarabajo-catafracto|cataphract_beetle.jpeg
giganton-de-chatarra|junker_hulk.jpeg
merodeador-de-dunas|dune_prowler.jpeg
loboforme-salvaje|feral_warpwolf.jpeg
bandada-de-escilas|scylla_flock.jpeg
bufalo-raevhan|raevhan_buffalo.jpeg
murcielagos-navaja|razorbat_swarm.jpeg
grifo-colinamarcada|scarsfell_griffon.jpeg
lobo-del-ocaso|duskwolf.jpeg
cazador-totemico|totem_hunter.jpeg
lamenteroso|lamenter.jpeg
duende-destello|glimmer_imp.jpeg
inmortal|deathless.jpeg
horda-de-no-muertos|dread.jpeg
podredumbre-terrorifica|dread_rot.jpeg
vacuohombre|hollowman_hollowman.jpeg
entombado|entombed.jpeg
asilo|slaughterhouse.jpeg
buscapenas|griever.jpeg
cuervo-asesino|murder_crow.jpeg
cuervo-del-asesinato|murder_crow.jpeg
laborfactico-ligero|light_laborjack.jpeg
laborfactico-pesado|heavy_laborjack.jpeg
trituradora-de-cascos|hull_grinder.jpeg
trampakin|trapperkin.jpeg
gordo-mawg|burrow_mawg.jpeg
duende-del-tonel|cask_imp.jpeg
dregg-doloroso|dregg_pain_monger.jpeg
troglodita-del-pantano-orador-de-la-niebla|croak_sorcerer.jpeg
croan-hechicero|croak_sorcerer.jpeg
rana-cazadora|croak_hunter.jpeg
troglodita-del-pantano-cazador|croak_hunter.jpeg
hombre-cocodrilo|gatorman_gatorman.jpeg
hombre-cocodrilo-bokor|gatorman_bokor.jpeg
hombre-cocodrilo-carroña|gatorman_husk.jpeg
suido-chaman|farrow_shaman_farrow_shaman.jpeg
suido-gigante|giant_farrow.jpeg
mogote-guardian|wold_guardian.jpeg
mogote-vigilante|woldwatcher.jpeg
mogote-guardian-del-bosque|woldwarden.jpeg
mogote-wyrd|woldwyrd.jpeg
destrozos|wrecker.jpeg
infernal|infernals.jpeg
horrible|horror.jpeg
grymkin|grymkin.jpeg
hada-enorme|huge_fey.jpeg
tatzylwurm-negro|black_tatzylwurm.jpeg
tatzylwurm-pintado|painted_tatzylwurm.jpeg
tatzylwurm-palido|pale_tatzylwurm.jpeg
mogotes|wolds.jpeg
drakes|drakes.jpeg
trolls|trolls.jpeg
tatzylwurms|tatzylwurms.jpeg
arcontes|archons.jpeg
pavor|dread.jpeg
reaver-umbrio|umbral_reaver.jpeg
aullador-espectral|shrieker.jpeg
# Mapeos adicionales faltantes
draco-de-la-escarcha|frost_drake.jpeg
duende-de-la-cuba|cask_imp.jpeg
duende-del-reflejo|glimmer_imp.jpeg
escarabajos-buitre|swarm_of_buzzard_beetles.jpeg
grifo-de-colinamarcada|scarsfell_griffon.jpeg
hombre-caiman-bokor|gatorman_bokor.jpeg
hombre-caiman-cascaron|gatorman_husk.jpeg
hombre-hueco|hollowman_hollowman.jpeg
lastimero|lamenter.jpeg
matadero|slaughterhouse.jpeg
merodeador-de-las-dunas|dune_prowler.jpeg
mogote-alcaide|woldwarden.jpeg
mogote-centinela|woldwatcher.jpeg
mogote-fatuo|woldwyrd.jpeg
sepultado|entombed.jpeg
